Governança;;;Escala;;Margem;;Eficiência;;Retorno;;;Dívida
Ticker;Empresa;Segmento de listagem;Patrim Liq; Liquidez média diária;Margem EBIT;Margem Líquida;ROIC;ROE;Div. Yield;CAGR do lucro em 5 anos;Soma Div. + CAGR;Dívida Líquida/EBIT
CGRA4;Grazziotin;0;626,294;0,500869;0,0946;0,3106;0,064;0,2175;0,0439;0,1683;0,2122;-0,94
LAME3;Lojas Americ;N1;12512,5;40,0604;0,1018;0,0255;0,1169;0,0472;0,0116;0,1035;0,1151;0,01
LAME4;Lojas Americ;N1;12512,5;247,11;0,1018;0,0255;0,1169;0,0472;0,0092;0,1035;0,1127;0,01
UCAS3;Unicasa;NM;153,609;0,383155;0,0692;0,0836;0,0599;0,0774;0,1644;0;0,1644;-3,41
EALT4;Aco Altona;0;179,5;0,345158;0,0818;0,0821;0,0547;0,1169;0,012;0,2001;0,2121;2,76
WHRL4;Whirlpool;0;2118;0,343113;0,0843;0,0684;0,3697;0,2877;0,1639;0,2;0,3639;-2,02
SULA4;;;8625,01;0,330328;0,0692;0,133;0,136;0,3198;0,0514;0,16;0,2114;-11,05
CESP3;Cesp;N1;7128,82;0,286584;0,3511;0,7928;0,0546;0,2057;0,0801;0,1573;0,2374;0,86
EQPA3;Eqtl Para;0;3632,53;0,237262;0,2512;0,12;0,1529;0,1871;0,0805;0,0633;0,1438;1,56
SULA3;;;8625,01;0,231268;0,0692;0,133;0,136;0,3198;0,0394;0,16;0,1994;-11,05
RAPT3;Randon Part;N1;1743,36;0,211976;0,0959;0,057;0,0934;0,1303;0,0217;0,0406;0,0623;2,81
ALUP3;Alupar;N2;5501,73;0,204159;0,4348;0,2686;0,1226;0,1088;0,026;0,1691;0,1951;2,81
LEVE3;Metal Leve;NM;1337,74;6,96934;0,121;0,0387;0,1358;0,0671;0,0265;0,054;0,0805;0,67
TKNO4;;;188,039;0,0123203;0,0983;0,0503;0,0957;0,0454;0,0464;0,1613;0,2077;-1,95
FESA4;Ferbasa;N1;1720,56;5,33338;0,1662;0,0218;0,0955;0,0182;0,0409;0,1929;0,2338;1,39
FESA3;;;1720,56;0,0107607;0,1662;0,0218;0,0955;0,0182;0,0225;0,1929;0,2154;1,39
ALUP4;Alupar;N2;5501,73;0,153964;0,4348;0,2686;0,1226;0,1088;0,0264;0,1691;0,1955;2,81
WHRL3;;;2118;0,129404;0,0843;0,0684;0,3697;0,2877;0,1585;0,2;0,3585;-2,02
EUCA3;Eucatex;N1;1442,06;0,12762;0,1363;0,0627;0,0746;0,0644;0,0085;0,1912;0,1997;1,89
TRPL3;Tran Paulist;N1;13331,3;0,124004;0,7014;0,5394;0,1448;0,1711;0,0587;0,362;0,4207;0,62
CGAS3;;;1212,21;0,115707;0,2327;0,1413;0,2487;0,9874;0,0494;0,1745;0,2239;2,42
CGRA3;Grazziotin;0;626,294;0,105234;0,0946;0,3106;0,064;0,2175;0,0448;0,1683;0,2131;-0,94
UNIP5;Unipar;0;1527,27;0,0782837;0,1374;0,0624;0,1507;0,1322;0,029;0,2132;0,2422;-0,37
LUXM4;;;96,83;0,0771546;0,1218;0,1095;0,0988;0,1215;0,0758;0,2608;0,3366;0,41
CESP5;;;7128,82;0,0635662;0,3511;0,7928;0,0546;0,2057;0,0985;0,1573;0,2558;0,86
BAUH4;;;82,353;0,0596206;0,0846;0,0749;0,2186;0,1701;0,0089;0,2302;0,2391;-2,09
WLMM4;;;458,461;0,0491066;0,0681;0,0633;0,141;0,1281;0,011;0,3246;0,3356;-1,51
JBSS3;JBS;NM;39446;368,824;0,0775;0,0125;0,1597;0,0764;0,0232;0,2185;0,2417;2,6
EALT3;;;179,5;0,0385687;0,0818;0,0821;0,0547;0,1169;0,0043;0,2001;0,2044;2,76
AFLT3;Afluente T;0;186,712;0,0204213;0,6098;0,5901;0,1323;0,1185;0,0695;0,1101;0,1796;-1,61
WLMM3;;;458,461;0,0200973;0,0681;0,0633;0,141;0,1281;0,0145;0,3246;0,3391;-1,51
PATI4;;;551,782;0,0140545;0,0664;0,1053;0,1211;0,228;0,0308;0,0278;0,0586;0,2
EQPA5;;;3632,53;0,00947428;0,2512;0,12;0,1529;0,1871;0,0455;0,0633;0,1088;1,56
MGLU3;Magaz Luiza;NM;7376,61;871,37;0,0305;0,0133;0,0608;0,0461;0,0021;0,4829;0,485;-1,4
EQPA7;;;3632,53;0,00868569;0,2512;0,12;0,1529;0,1871;0,0517;0,0633;0,115;1,56
RSUL4;;;18,338;0,00624297;0,1776;0,1392;0,147;1,3322;0;0,1967;0,1967;0,23
CRFB3;Carrefour BR;NM;14780;102,736;0,0629;0,0383;0,1209;0,1605;0,0131;0,125;0,1381;1,32
RADL3;RaiaDrogasil;NM;4173,49;138,412;0,0482;0,0218;0,092;0,0979;0,0052;0,2893;0,2945;1,29
PNVL4;;;1003,63;0,639093;0,0297;0,0195;0,0658;0,0559;0,0076;0,0923;0,0999;1,52
PNVL3;Dimed;0;1003,63;21,1142;0,0297;0,0195;0,0658;0,0559;0,0065;0,0923;0,0988;1,52
USIM6;;;13629,2;0,00215413;0,0814;-0,0244;0,0524;-0,049;0,0037;0,1256;0,1293;2,5
USIM5;Usiminas;N1;13629,2;265,845;0,0814;-0,0244;0,0524;-0,049;0,0026;0,1256;0,1282;2,5
USIM3;Usiminas;N1;13629,2;4,79561;0,0814;-0,0244;0,0524;-0,049;0,0023;0,1256;0,1279;2,5
OMGE3;Omega Ger;NM;3722,19;38,2889;0,3084;0,0045;0,0457;-0,0006;0;0,0435;0,0435;0,01
EMAE4;Emae;0;1059,72;1,17738;0,0778;0,2553;0,0298;0,1058;0,1178;0;0,1178;-12,74
BRPR3;BR Propert;NM;7172,38;20,655;0,672;1,4079;0,0249;0,0623;0,0093;0,0309;0,0402;0,55
CAMB3;Cambuci;0;91,748;0,870979;0,0337;0,1655;0,0206;0,2729;0;0,0764;0,0764;2,93
ARZZ3;Arezzo Co;NM;697,259;35,855;0,0091;0,0214;0,0129;0,0433;0,0077;0,0754;0,0831;-0,26
ITSA4;Itausa;N1;54494;331,035;0,0674;1,3015;0,0059;0,1256;0,0544;0,0531;0,1075;0,11
ITSA3;Itausa;N1;54494;2,34592;0,0674;1,3015;0,0059;0,1256;0,0534;0,0531;0,1065;0,11
BSLI4;;;1950,98;0,151445;0;0;0;0,2466;0,0065;0,1295;0,136;0
BSLI3;;;1950,98;0,160609;0;0;0;0,2466;0,005;0,1295;0,1345;0
BNBR3;Nord Brasil;0;6209,47;0,0234752;0;0;0;0,2062;0,0358;0,1837;0,2195;0
SANB3;Santander BR;0;76878,2;2,46791;0;0;0;0,1726;0,0202;0,2385;0,2587;0
SANB4;Santander BR;0;76878,2;3,90014;0;0;0;0,1726;0,0201;0,2385;0,2586;0
SANB11;Santander BR;0;76878,2;129,343;0;0;0;0,1726;0,02;0,2385;0,2585;0
